Jabodetabek,NonJabodetabek,Jawa,NonJawa,Kereta Bandara,MRT,LRT,KeretaCepatWhoosh,Total,Date
14484,3015,17499,238,0,0,0,0,17737,2022-01-01
10499,2358,12857,210,0,0,0,0,13067,2022-02-01
15735,3398,19133,305,0,0,0,0,19438,2022-03-01
15890,3546,19436,277,0,0,0,0,19713,2022-04-01
17075,6039,23114,480,0,0,0,0,23594,2022-05-01
18326,4834,23160,452,0,0,0,0,23612,2022-06-01
19467,5805,25272,469,0,0,0,0,25741,2022-07-01
19388,4532,23920,368,0,0,0,0,24288,2022-08-01
20587,4580,25167,400,0,0,0,0,25567,2022-09-01
21807,5336,27143,467,0,0,0,0,27610,2022-10-01
21589,4884,26473,451,0,0,0,0,26924,2022-11-01
23118,6127,29245,579,0,0,0,0,29824,2022-12-01
22717,5718,28435,582,0,0,0,0,29017,2023-01-01
20811,4933,25744,515,0,0,0,0,26259,2023-02-01
23856,5393,29249,571,0,0,0,0,29820,2023-03-01
21402,6329,27731,594,0,0,0,0,28325,2023-04-01
23716,6170,29886,648,0,0,0,0,30534,2023-05-01
23292,6287,29579,658,0,0,0,0,30237,2023-06-01
25211,7161,32372,576,0,0,0,0,32948,2023-07-01
24979,5763,30742,581,0,0,0,0,31323,2023-08-01
25082,5985,31067,451,0,0,0,0,31518,2023-09-01
26793,6315,33108,480,0,0,0,0,33588,2023-10-01
26171,6253,32424,486,0,0,0,0,32910,2023-11-01
26861,7639,34500,559,0,0,0,0,35059,2023-12-01
26848,6742,33590,512,618,3134,1618,388,39860,2024-01-01
24617,6780,31397,496,603,2595,1646,429,37166,2024-02-01
26012,6265,32277,456,578,2876,1762,386,38335,2024-03-01
25543,8698,34241,585,704,2608,1911,410,40459,2024-04-01
27057,7608,34665,539,650,3176,2154,520,41704,2024-05-01
26739,7785,34524,520,655,3475,2178,536,41888,2024-06-01
29241,8182,37422,533,711,3784,2536,618,45604,2024-07-01
28209,7083,35292,491,660,3739,2494,554,43230,2024-08-01
27608,7184,34792,494,698,3556,2412,529,42481,2024-09-01
29933,7300,37233,519,675,3861,2695,516,45499,2024-10-01
27522,7327,34849,519,651,3515,2511,547,42592,2024-11-01
28825,8712,37537,599,775,3591,2703,624,45829,2024-12-01
